dataset,sample_id,iteration,n_inclusion,n_exclusion,miou,dice
Bird,sample_000002,67,67,67,0.012845573862049707,0.025365315687896333
Bird,sample_000002,68,68,68,0.013032511210762331,0.025729699820168764
Bird,sample_000002,69,69,69,0.013622381719642595,0.026878612716763006
Bird,sample_000002,70,70,70,0.01383722660318405,0.02729674200176108
Bird,sample_000002,71,71,71,0.013868177751267521,0.027356964259449917
Bird,sample_000002,72,72,72,0.01436071649166152,0.028314811995737554
Bird,sample_000002,73,73,73,0.015008781733993294,0.02957369828535473
Bird,sample_000002,74,74,74,0.014968152866242038,0.029494822717288986
Bird,sample_000002,75,75,75,0.014556268586633276,0.028694847269361307
Bird,sample_000002,76,76,76,0.01455399061032864,0.02869042110134197
Bird,sample_000002,77,77,77,0.01455171334689407,0.028685996298581123
Bird,sample_000002,78,78,78,0.014685205436650523,0.02894534257120862
Bird,sample_000002,79,79,79,0.015149073327961322,0.029846007302746468
Bird,sample_000002,80,80,80,0.015141752577319588,0.029831799428752775
Bird,sample_000002,81,81,81,0.015068932350112215,0.02969046114971573
Bird,sample_000002,82,82,82,0.015132002575660013,0.029812876625436094
Bird,sample_000002,83,83,83,0.015032784263553494,0.029620293051835514
Bird,sample_000002,84,84,84,0.035147009124704295,0.06790728044400914
Bird,sample_000002,85,85,85,0.0347245409015025,0.06711842529848339
Bird,sample_000002,86,86,86,0.03479424556707929,0.06724862592951826
Bird,sample_000002,87,87,87,0.035206499661475966,0.06801831262262917
Bird,sample_000002,88,88,88,0.03473613894455578,0.0671400903808909
Bird,sample_000002,89,89,89,0.03525423728813559,0.06810740013097577
Bird,sample_000002,90,90,90,0.03480589022757698,0.06727037516170763
Bird,sample_000002,91,91,91,0.034278180619644036,0.0662842574888464
Bird,sample_000002,92,92,92,0.033909357678513205,0.06559444970040997
Bird,sample_000002,93,93,93,0.033931484502446985,0.06563584727043231
Bird,sample_000002,94,94,94,0.015915119363395226,0.031331592689295036
Bird,sample_000002,95,95,95,0.015753199868723335,0.031017770597738286
Bird,sample_000002,96,96,96,0.015711947626841243,0.030937802126973897
Bird,sample_000002,97,97,97,0.015609756097560976,0.03073967339097022
Bird,sample_000002,98,98,98,0.01565813081063448,0.030833467159145655
Bird,sample_000002,99,99,99,0.004367883784844916,0.008697776691913022
Bird,sample_000002,100,100,100,0.015607218338481547,0.030734752681287017
Bird,sample_000004,1,1,1,0.00014870035886353273,0.0002973565007086997
Bird,sample_000004,2,2,2,0.7796610169491526,0.8761904761904762
Bird,sample_000004,3,3,3,0.7833333333333333,0.8785046728971962
Bird,sample_000004,4,4,4,0.8,0.8888888888888888
Bird,sample_000004,5,5,5,7.86727900321575e-05,0.00015733320222233147
Bird,sample_000004,6,6,6,0.0002042761813972491,0.0004084689223228266
Bird,sample_000004,7,7,7,0.8,0.8888888888888888
Bird,sample_000004,8,8,8,0.8,0.8888888888888888
Bird,sample_000004,9,9,9,0.7741935483870968,0.8727272727272727
Bird,sample_000004,10,10,10,0.7741935483870968,0.8727272727272727
Bird,sample_000004,11,11,11,0.7741935483870968,0.8727272727272727
Bird,sample_000004,12,12,12,0.7741935483870968,0.8727272727272727
Bird,sample_000004,13,13,13,0.7619047619047619,0.8648648648648649
Bird,sample_000004,14,14,14,0.7619047619047619,0.8648648648648649
Bird,sample_000004,15,15,15,0.7619047619047619,0.8648648648648649
Bird,sample_000004,16,16,16,0.75,0.8571428571428571
Bird,sample_000004,17,17,17,0.75,0.8571428571428571
Bird,sample_000004,18,18,18,0.75,0.8571428571428571
Bird,sample_000004,19,19,19,0.75,0.8571428571428571
Bird,sample_000004,20,20,20,0.7384615384615385,0.8495575221238938
Bird,sample_000004,21,21,21,0.7384615384615385,0.8495575221238938
Bird,sample_000004,22,22,22,0.7313432835820896,0.8448275862068966
Bird,sample_000004,23,23,23,0.7313432835820896,0.8448275862068966
Bird,sample_000004,24,24,24,0.7313432835820896,0.8448275862068966
Bird,sample_000004,25,25,25,0.7313432835820896,0.8448275862068966
Bird,sample_000004,26,26,26,0.7313432835820896,0.8448275862068966
Bird,sample_000004,27,27,27,0.7352941176470589,0.847457627118644
Bird,sample_000004,28,28,28,0.7246376811594203,0.8403361344537815
Bird,sample_000004,29,29,29,0.746268656716418,0.8547008547008547
Bird,sample_000004,30,30,30,0.746268656716418,0.8547008547008547
